,fips,TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code
2535,48029,1986049,281600,14.17890495,284659,14.33292935,308094,15.51291031,298637,15.03673877,249508,12.56303344,225144,11.33627619,179542,9.040159634,102918,5.182047371,55947,2.816999983,1675380,84.35743529,169699,8.544552526,24235,1.220261937,65187,3.282245302,4496,0.226379108,47052,2.369125837,1986049,27208,42261,14.0,7.0,7.1,2.6,4.1,6.7,197870,308714,379838,337748,16.2,25.2,31.0,27.6,334215,17.2,23.7,22.0,54210,52804,55616,940900,909581,31319,3.3,54210,89.4,224.8,199.9,72.9,66.5,6.2,5.4,685.0390663,404.3114408,36.18943754,751.467097,665.1106571,2345.601441,648,1892004,307269,16.2,48,29,1478380,47.1,45.4,48.8,696450,37.7,36.5,38.8,557349,6.6,6.1,7.1,5.7,5.1,6.4,84995,13.4,12.6,14.2,198276,3.1,2.9,3.3,45733,1
2563,48085,1005146,133960,13.32741711,151546,15.07701369,117972,11.73680241,147122,14.63687862,162184,16.1353674,132755,13.20753403,87556,8.710774355,50461,5.020265713,21590,2.147946666,704031,70.04266047,105939,10.53966289,7017,0.698107539,159619,15.88018059,966,0.096105441,27574,2.743283065,1005146,33753,4394,11.3,4.8,6.5,5.5,22.1,27.6,39131,91405,167196,318998,6.3,14.8,27.1,51.7,64180,6.4,6.7,6.3,96936,93514,100358,545243,527191,18052,3.3,96936,159.9,224.8,199.9,72.9,66.5,6.2,5.4,346.7005483,204.623364,18.31559462,380.3199955,336.6147142,1187.116686,195,914075,135322,14.8,48,85,744670,34.5,32.8,36.1,256993,26.7,25.6,27.9,198827,5.0,4.6,5.5,4.6,3.9,5.4,34176,9.2,8.6,9.8,68319,2.3,2.2,2.4,17085,1
2243,42003,1218452,126101,10.34927925,133548,10.96046459,169875,13.9418705,171345,14.06251539,135862,11.15037769,162808,13.36187228,162359,13.32502224,92599,7.599724897,63955,5.24887316,975555,80.06511541,163433,13.41316687,1942,0.159382561,49988,4.102582621,441,0.036193465,27093,2.223559073,1218452,-2204,35097,10.5,11.3,-0.9,2.5,-3.4,-0.9,50463,245191,228152,359564,5.7,27.8,25.8,40.7,138397,11.7,15.0,13.8,59881,58402,61360,645169,619110,26059,4.0,59881,98.3,320.5,273.3,100.8,88.2,8.7,7.2,666.2590287,539.3434862,18.93267838,987.1631703,685.3819852,2546.587951,580,1229605,303430,24.7,42,3,990703,41.7,39.7,43.8,413499,31.9,30.3,33.2,316034,6.8,6.1,7.6,6.8,5.6,8.1,66908,10.3,9.4,11.2,101890,2.9,2.7,3.1,28884,1
220,6073,3343364,409094,12.23599943,404237,12.09072659,538232,16.09851634,504704,15.09569404,417723,12.49409278,412056,12.32459284,341224,10.20600808,197656,5.911889941,118438,3.542479969,2522987,75.46252816,184779,5.526738937,44035,1.317086623,420909,12.58938602,19678,0.588568879,150976,4.515691381,3343364,17896,108137,12.5,6.9,5.6,3.1,-3.2,-0.2,286008,409272,680074,848022,12.9,18.4,30.6,38.1,372148,11.5,14.9,15.1,78777,77510,80044,1592193,1539530,52663,3.3,78777,104.7,279.6,243.8,96.2,87.1,7.2,6.2,1302.792276,669.1453517,30.3427032,1890.122205,1284.535942,4967.328718,570,3283665,604412,18.4,6,73,2620956,34.1,32.6,35.5,893601,24.1,23.2,25.0,631650,5.3,4.9,5.8,5.1,4.4,5.9,133740,9.6,9.0,10.2,251137,2.7,2.6,2.9,70932,1
1947,37119,1093901,143280,13.09807743,142049,12.9855444,167915,15.35010938,173987,15.90518703,153683,14.04907757,135184,12.35797389,98578,9.011601598,52158,4.768073162,27067,2.47435554,628585,57.46269544,359817,32.89301317,8553,0.781880627,69595,6.362093096,1126,0.102934361,26225,2.39738331,1093901,16590,17480,13.6,6.2,7.4,5.6,2.3,7.9,69881,122374,196799,315345,9.9,17.4,27.9,44.8,126098,11.7,17.5,16.4,64509,62273,66745,611673,588987,22686,3.7,64509,119.6,255.0,223.5,86.2,78.1,7.1,6.2,496.9298777,446.8892392,11.79905582,532.5377426,423.9232198,1578.018367,173,1034290,156489,15.1,37,119,836188,34.9,33.5,36.5,292013,29.6,28.5,30.7,247512,5.4,4.9,5.8,5.6,4.8,6.4,46789,9.5,8.9,10.1,79452,2.6,2.5,2.8,21952,1
1746,32003,2231647,284364,12.74233783,282564,12.66167992,304002,13.62231572,323796,14.50928395,301058,13.49039521,280975,12.5904769,236827,10.61220704,152420,6.829933229,65641,2.941370208,1560118,69.90881622,286291,12.82868662,27371,1.226493258,231352,10.36687254,19377,0.868282484,107138,4.80084888,2231647,48337,22978,12.3,7.9,4.4,1.4,16.0,17.4,208782,415643,483389,347159,14.3,28.6,33.2,23.9,307977,14.0,19.7,18.7,57155,56063,58247,1098114,1045471,52643,4.8,57155,97.3,213.5,185.8,72.3,65.0,5.6,5.0,618.5143933,389.0536434,32.35984935,1037.721533,662.6414606,2269.602161,535,2112436,405618,19.2,32,3,1714018,44.0,42.7,45.3,754963,31.5,30.6,32.4,539916,7.0,6.5,7.6,7.4,6.6,8.3,127559,11.9,11.2,12.5,203181,3.1,3.0,3.3,53399,1
1840,36029,919719,100740,10.95334553,109669,11.92418554,128597,13.98220543,118422,12.87588927,103167,11.21723048,129113,14.03830953,117349,12.7592232,68390,7.435966855,44272,4.813644167,730860,79.4655759,128502,13.97187619,6890,0.749141858,34265,3.725594448,437,0.047514513,18765,2.040297091,919719,925,27667,10.6,10.7,-0.1,3.0,-1.8,1.1,55426,178600,193051,216636,8.6,27.7,30.0,33.7,122204,13.7,19.2,17.8,56375,55346,57404,443446,423872,19574,4.4,56375,83.3,375.1,304.1,112.9,94.8,10.2,7.4,593.5140858,418.5330874,7.812492129,975.14962,304.9695723,2301.767259,262,923995,216391,23.4,36,29,733627,41.2,39.3,42.9,302227,30.8,29.6,32.0,225957,7.3,6.6,8.1,7.8,6.6,9.0,56970,11.4,10.4,12.3,83461,3.1,2.8,3.3,22451,1
608,17031,5180493,627602,12.11471572,623977,12.04474169,769628,14.85626947,783596,15.12589632,657620,12.69415864,652618,12.59760413,554495,10.70351799,316057,6.10090584,194900,3.762190201,3391043,65.4579207,1236170,23.86201468,38253,0.738404627,408151,7.878613097,3873,0.074761224,103003,1.988285671,5180493,-24009,90985,12.3,8.4,3.9,3.6,-12.2,-8.6,477426,837569,910060,1361974,13.3,23.3,25.4,38.0,701869,13.8,18.8,18.5,63347,62265,64429,2611512,2506103,105409,4.0,63347,97.4,284.4,240.5,99.6,87.2,7.0,5.8,2017.944064,1013.241307,76.03375781,3924.073779,2461.542085,8694.683835,1606,5238541,1005046,19.2,17,31,4050821,39.2,37.9,40.6,1586911,30.0,29.1,30.9,1215246,6.0,5.5,6.4,6.3,5.6,7.2,256526,10.8,10.2,11.4,436733,3.0,2.9,3.2,123364,1
2065,39049,1310300,178261,13.60459437,163759,12.49782493,218055,16.64160879,208490,15.91162329,159795,12.19529879,154036,11.75578112,126668,9.667099138,65806,5.022208655,35430,2.703960925,880257,67.17980615,308273,23.52690224,4058,0.309700069,74342,5.67366252,762,0.058154621,42608,3.251774403,1310300,14594,30780,14.4,7.6,6.8,4.6,-0.2,4.4,76705,210382,228179,333337,9.0,24.8,26.9,39.3,198207,15.5,22.2,22.2,60383,59325,61441,685914,659792,26122,3.8,60383,107.5,292.7,248.6,93.7,83.7,8.3,7.1,676.9272391,250.6390639,21.74596529,886.2041319,605.9726204,2553.693718,449,1253507,205767,16.4,39,49,1005657,39.0,37.3,40.8,392670,30.2,29.1,31.4,303708,6.0,5.5,6.5,6.9,5.9,7.9,69369,11.3,10.5,12.1,113626,2.6,2.5,2.8,26580,1
1780,34017,676061,84979,12.56972374,66068,9.772490944,111584,16.50501952,132411,19.58565869,88692,13.11893453,78978,11.68208194,59441,8.792253953,33718,4.987419774,20190,2.986416906,437643,64.73424735,100352,14.84363097,7526,1.113213157,111027,16.4226305,1320,0.195248654,18193,2.69102936,676061,3139,9477,15.1,6.6,8.5,14.9,-18.7,-3.9,75223,122015,83820,194212,15.8,25.7,17.6,40.9,95704,14.3,22.3,22.5,73337,71198,75476,357639,343787,13852,3.9,73337,89.7,306.5,271.0,97.7,87.5,7.6,6.7,418.6810533,141.3058041,6.222919407,536.5370757,205.508119,1189.032942,105,679756,109974,16.2,34,17,537840,29.9,28.5,31.2,160832,24.0,23.0,25.1,129082,5.4,5.1,5.8,4.8,4.3,5.4,25934,11.1,10.4,11.7,59570,2.7,2.6,2.8,14524,1
